"","2.5 %","97.5 %","variable_names","estimate"
"factor(event_psa)407",0.0450054884740741,0.045005488474198,"factor(event_psa)407",0.0450054884741361
"factor(event_psa)408",0.00548847420410958,0.00548847420422772,"factor(event_psa)408",0.00548847420416865
"factor(event_psa)409",0.0406147091107484,0.0406147091108775,"factor(event_psa)409",0.0406147091108129
"factor(event_psa)501",0.0911086717892433,0.0911086717893508,"factor(event_psa)501",0.0911086717892971
"factor(event_psa)502",0.0911086717890687,0.0911086717892022,"factor(event_psa)502",0.0911086717891355
"factor(event_psa)503",0.106476399560682,0.106476399560844,"factor(event_psa)503",0.106476399560763
"factor(event_psa)504",0.0537870472007695,0.053787047200879,"factor(event_psa)504",0.0537870472008242
"factor(event_psa)505",0.0515916575191305,0.0515916575192411,"factor(event_psa)505",0.0515916575191858
"factor(event_psa)506",0.117453347969112,0.11745334796922,"factor(event_psa)506",0.117453347969166
"factor(event_psa)507",0.147091108671899,0.147091108672017,"factor(event_psa)507",0.147091108671958
"factor(event_psa)601",0.0823271130626117,0.0823271130627199,"factor(event_psa)601",0.0823271130626658
"factor(event_psa)602",0.199780461031668,0.199780461031776,"factor(event_psa)602",0.199780461031722
"factor(event_psa)603",0.204171240395162,0.204171240395271,"factor(event_psa)603",0.204171240395216
"factor(event_psa)604",0.206366630076759,0.206366630076904,"factor(event_psa)604",0.206366630076831
"factor(event_psa)605",0.0779363336990935,0.0779363336992147,"factor(event_psa)605",0.0779363336991541
"factor(event_psa)606",0.0680570801316298,0.0680570801317704,"factor(event_psa)606",0.0680570801317001
"factor(event_psa)607",0.0812294182216829,0.0812294182218192,"factor(event_psa)607",0.0812294182217511
"factor(event_psa)608",0.165751920965932,0.165751920966045,"factor(event_psa)608",0.165751920965988
"factor(event_psa)701",0.0983278726369051,0.430825072843674,"factor(event_psa)701",0.26457647274029
"factor(event_psa)702",0.0763739758202058,0.408871176026846,"factor(event_psa)702",0.242622575923526
"factor(event_psa)703",0.0873509242285564,0.419848124435286,"factor(event_psa)703",0.253599524331921
"factor(event_psa)704",0.106011736522723,0.438508936729382,"factor(event_psa)704",0.272260336626053
"factor(event_psa)705",0.0697878067752129,0.402285006981881,"factor(event_psa)705",0.236036406878547
"factor(event_psa)706",0.114793295249418,0.447290495456156,"factor(event_psa)706",0.281041895352787
"factor(event_psa)707",0.0642993325710523,0.396796532777753,"factor(event_psa)707",0.230547932674403
"factor(event_psa)708",0.0730808912977059,0.405578091504434,"factor(event_psa)708",0.23932949140107
"factor(quarters_since_treatment)-4",-0.0158592692568599,0.0598407507382084,"factor(quarters_since_treatment)-4",0.0219907407406743
"factor(quarters_since_treatment)-3",-0.0332908382381986,0.037457504904729,"factor(quarters_since_treatment)-3",0.00208333333326519
"factor(quarters_since_treatment)-2",-0.0224733937090218,0.0502511714866698,"factor(quarters_since_treatment)-2",0.013888888888824
