"","2.5 %","97.5 %","variable_names","estimate"
"factor(quarters_since_treatment)2",0.0141555171219034,0.0302889273225407,"factor(quarters_since_treatment)2",0.0222222222222221
"factor(quarters_since_treatment)3",0.0108898253986985,0.022906470897594,"factor(quarters_since_treatment)3",0.0168981481481463
"factor(quarters_since_treatment)4",0.0150149710038501,0.0405405845517025,"factor(quarters_since_treatment)4",0.0277777777777763
"factor(quarters_since_treatment)5",0.0116827546451967,0.0272061342436928,"factor(quarters_since_treatment)5",0.0194444444444448
"factor(quarters_since_treatment)6",0.00281639651014785,0.0319058257120707,"factor(quarters_since_treatment)6",0.0173611111111093
"factor(quarters_since_treatment)-4:factor(Treated)TRUE",0.00262651791380328,0.0455216302343611,"factor(quarters_since_treatment)-4:factor(Treated)TRUE",0.0240740740740822
"factor(quarters_since_treatment)-3:factor(Treated)TRUE",-0.00477713292981576,0.051999355152051,"factor(quarters_since_treatment)-3:factor(Treated)TRUE",0.0236111111111176
"factor(quarters_since_treatment)-2:factor(Treated)TRUE",0.0118532838081685,0.0455541235992535,"factor(quarters_since_treatment)-2:factor(Treated)TRUE",0.028703703703711
"factor(quarters_since_treatment)-1:factor(Treated)TRUE",0.00609999105351074,0.0378814904279837,"factor(quarters_since_treatment)-1:factor(Treated)TRUE",0.0219907407407472
"factor(quarters_since_treatment)0:factor(Treated)TRUE",-0.0113781153136024,0.0280447819802826,"factor(quarters_since_treatment)0:factor(Treated)TRUE",0.00833333333334011
"factor(quarters_since_treatment)1:factor(Treated)TRUE",0.0147777455170869,0.0500370692977423,"factor(quarters_since_treatment)1:factor(Treated)TRUE",0.0324074074074146
"factor(quarters_since_treatment)2:factor(Treated)TRUE",-0.0132773777486857,0.0188329333042549,"factor(quarters_since_treatment)2:factor(Treated)TRUE",0.00277777777778458
"factor(quarters_since_treatment)3:factor(Treated)TRUE",-0.00311595362482654,0.0332085462174322,"factor(quarters_since_treatment)3:factor(Treated)TRUE",0.0150462962963028
"factor(quarters_since_treatment)4:factor(Treated)TRUE",-0.0296650985207909,0.0074428762985824,"factor(quarters_since_treatment)4:factor(Treated)TRUE",-0.0111111111111042
"factor(quarters_since_treatment)5:factor(Treated)TRUE",-0.00220703232764782,0.0244292545498831,"factor(quarters_since_treatment)5:factor(Treated)TRUE",0.0111111111111177
"factor(quarters_since_treatment)6:factor(Treated)TRUE",-0.03607245868117,0.16801690312563,"factor(quarters_since_treatment)6:factor(Treated)TRUE",0.0659722222222302
