"","event_psa","Treated PSA","posttreatment_mspe","pretreatment_mspe","Post MSPE / Pre MSPE"
"1","103","Untreated PSA",0.00754616047334563,0.00218982266369367,3.44601441863662
"2","104","Untreated PSA",0.00146612038433115,0.000316999860742579,4.62498747127753
"3","105","Untreated PSA",0.00883914748014434,0.00959907981083016,0.920832793802962
"4","106","Untreated PSA",0.000924657626946966,0.000849899010475818,1.08796176433868
"5","107","Untreated PSA",0.000563875231075434,0.000123066538428401,4.58187284924318
"6","108","Untreated PSA",0.00515347907675688,0.00147115440718412,3.50301712151408
"7","301","Untreated PSA",0.000524698130634386,0.000165130284394948,3.17747972491494
"8","302","Untreated PSA",0.00313398541513679,0.00088002422106456,3.56124904306114
"9","303","Untreated PSA",2.10018293470582e-05,0.000106028815721807,0.198076619116088
"10","304","Untreated PSA",0.00385426167088793,0.00191439946008082,2.01330064662953
"11","305","Untreated PSA",0.00111373407271803,0.000227687067645999,4.89151221557136
"12","306","Untreated PSA",0.00268602397061542,0.00162025032087521,1.65778332891457
"13","307","Untreated PSA",0.000652702575061427,9.45385400290754e-05,6.9040898543672
"14","308","Untreated PSA",0.00866396262939125,0.00150968222103842,5.73893135167996
"15","402","Untreated PSA",0.00216537959850107,0.00039226959840461,5.52013107135457
"16","403","Untreated PSA",0.0129067328139447,0.00216492766679815,5.96173858918498
"17","404","Untreated PSA",0.00803807255394563,0.00154420023362547,5.20533048688503
"18","405","Untreated PSA",0.000291983727651598,0.000233978417826258,1.24790880442833
"19","406","Untreated PSA",3.49233688954585e-05,0.00016639781771784,0.209878767488873
"20","407","Untreated PSA",0.00696483333255508,0.00211453749692531,3.29378568253457
"21","408","Untreated PSA",0.000141441208239527,5.04162655772682e-05,2.8054677715618
"22","409","Untreated PSA",0.00190673287572498,0.00161301654836321,1.1820913292302
"23","501","Untreated PSA",0.00743046654502091,0.00269489353721482,2.75723936489912
"24","502","Untreated PSA",0.0103726811667239,0.0015651926509419,6.62709549554927
"25","503","Untreated PSA",0.0253543519709396,0.00227838713256904,11.1282018795247
"26","504","Untreated PSA",0.000837787528521446,0.00083556065503064,1.0026651248804
"27","505","Untreated PSA",0.00642031376163085,0.00177017715976842,3.62693288985312
"28","506","Untreated PSA",0.0561816572958151,0.00677990215366507,8.28649971968171
"29","507","Untreated PSA",0.0468473854842804,0.00604446796856069,7.75045640541889
"30","601","Untreated PSA",0.057858006486598,0.00253104948591758,22.8592948531873
"31","602","Untreated PSA",0.0775365703287884,0.0150302530986998,5.1587002440761
"32","603","Untreated PSA",0.148793505320207,0.042303665168091,3.51727219684124
"33","604","Untreated PSA",0.11101430708079,0.0189407148619779,5.86114662987945
"34","605","Untreated PSA",0.0197851477715287,0.00629242113705083,3.14428219926832
"35","606","Untreated PSA",0.00277330452469434,0.000196118415995874,14.1409694271276
"36","607","Untreated PSA",0.0127692778915059,0.00292208784522631,4.36991581631147
"37","608","Untreated PSA",0.171977576683318,0.0530454347137806,3.2420806354263
"38","701","Treated PSA",0.0496267417871162,0.00825950516365947,6.00844007041319
"39","702","Treated PSA",0.0841929010713778,0.0196720830556081,4.27981626721408
"40","703","Treated PSA",0.0292137462416643,0.00258824265294872,11.2870971384317
"41","704","Treated PSA",0.0874987306050014,0.0385757137335408,2.26823361479176
"42","705","Treated PSA",0.0672891638206344,0.0195600475429768,3.44013293795879
"43","706","Treated PSA",0.113220642741213,0.00874176210168862,12.9516957135384
"44","707","Treated PSA",0.0293011872493635,0.00676479572285598,4.33142232962993
"45","708","Treated PSA",0.114828251418668,0.00747524505052795,15.3611354065989
