"","event_psa","Treated PSA","posttreatment_mspe","pretreatment_mspe","Post MSPE / Pre MSPE"
"1","101","Untreated PSA",0.000477702707872769,8.65140972431501e-05,5.52167476856602
"2","102","Untreated PSA",0.000702528647257908,0.000172701415327497,4.06788008034381
"3","103","Untreated PSA",0.00210489870649976,0.000522265905708724,4.03031996439318
"4","104","Untreated PSA",0.00401499632045544,0.00214435922483446,1.87235248364946
"5","105","Untreated PSA",0.00194428026408968,0.000453824926253391,4.28420774535443
"6","106","Untreated PSA",0.00147943547273944,0.000420919599409313,3.51476974418766
"7","107","Untreated PSA",0.00143636284910933,0.000615103781470078,2.33515528985445
"8","108","Untreated PSA",0.0101379398196219,0.00113376417399639,8.94184174464322
"9","201","Untreated PSA",0.00115613651986251,0.000293869966916816,3.93417718725156
"10","202","Untreated PSA",0.000580432375465499,0.000393008682072977,1.47689453679224
"11","203","Untreated PSA",0.000687308327489836,0.000271357908224081,2.53284797184637
"12","204","Untreated PSA",0.000904691727728966,0.000166217298407906,5.44282536411347
"13","205","Untreated PSA",0.000309372143307593,0.000263149291736806,1.17565257829771
"14","206","Untreated PSA",0.000265257377732667,0.000271255649310164,0.977887016942315
"15","207","Untreated PSA",0.00304032414803318,0.000558071656993271,5.44790997703337
"16","208","Untreated PSA",0.00141784893486613,0.000214387084565029,6.613499771886
"17","301","Untreated PSA",0.00104826149122867,0.00086182520308237,1.21632726390398
"18","302","Untreated PSA",0.00476523227261852,0.000973111324993826,4.89690351990174
"19","303","Untreated PSA",0.00128948866093374,0.000723921962750923,1.78125368103717
"20","304","Untreated PSA",0.0038960011212054,0.000931982674420218,4.18033642484725
"21","305","Untreated PSA",0.00359186335715859,0.000839694893316038,4.27758151889428
"22","306","Untreated PSA",0.00115763260111721,0.00025500537101085,4.53964007318089
"23","307","Untreated PSA",0.00155579283132741,0.000223915546920131,6.94812331134092
"24","308","Untreated PSA",0.00251432120081727,0.000709745795835273,3.54256582507581
"25","401","Untreated PSA",0.00335150165663734,0.00054711925394622,6.12572420448355
"26","402","Untreated PSA",0.00290760491590066,0.000923552299870666,3.14828398598307
"27","403","Untreated PSA",0.00569543067002457,0.00035225981381887,16.1682668490625
"28","404","Untreated PSA",0.0018477551430028,0.000445669113959031,4.14602467419957
"29","405","Untreated PSA",0.00396224179693653,0.000881153378133952,4.49665392570757
"30","406","Untreated PSA",0.00224703564574209,0.000846051348754352,2.65590930036389
"31","407","Untreated PSA",0.00212621641746976,0.00101855721162798,2.08747863467718
"32","408","Untreated PSA",0.00064798809257572,0.000303776458995434,2.13310832155516
"33","409","Untreated PSA",0.00249568543003897,0.000649303174763102,3.843636573854
"34","501","Untreated PSA",0.00854491513804227,0.000911568931645449,9.3738551648728
"35","502","Untreated PSA",0.00610819783756948,0.00101343143610293,6.02724330425158
"36","503","Untreated PSA",0.0090367617425234,0.000480847990014261,18.7933857064795
"37","504","Untreated PSA",0.0062794322285105,0.000854679133124528,7.34712242892161
"38","505","Untreated PSA",0.00597373683740063,0.000728760393243835,8.19712060751617
"39","506","Untreated PSA",0.00561087652533117,0.00240915409348395,2.32898200264854
"40","507","Untreated PSA",0.00910411949583236,0.00125371689672023,7.26170279721767
"41","601","Untreated PSA",0.00297950114033412,0.00145933902692718,2.0416785170255
"42","602","Untreated PSA",0.0118545898768577,0.00261793083205268,4.52822883313641
"43","603","Untreated PSA",0.0352714799889332,0.00397767810714776,8.86735402886207
"44","604","Untreated PSA",0.00805536889236071,0.0017514248788103,4.59932309390999
"45","605","Untreated PSA",0.00447960266852828,0.0025569355103943,1.75194198301759
"46","606","Untreated PSA",0.00403273765989637,0.000790963171520628,5.09851508274832
"47","607","Untreated PSA",0.00657065128617339,0.00149986687689142,4.38082298329804
"48","608","Untreated PSA",0.0169448815276042,0.000847444007865852,19.9952815411099
"49","701","Treated PSA",0.00856809840897176,0.00173434559113183,4.94024861756662
"50","702","Treated PSA",0.00585865677539839,0.00156520794479866,3.74305330794371
"51","703","Treated PSA",0.0222598114724997,0.0019119142235775,11.6426831277231
"52","704","Treated PSA",0.0164803298347598,0.0010627923409779,15.5066321042509
"53","705","Treated PSA",0.00669027359441264,0.00434104498101108,1.54116661395533
"54","706","Treated PSA",0.00815650164454538,0.00200016558042828,4.07791321096472
"55","707","Treated PSA",0.00520496796903645,0.000943216551553598,5.51831704019952
"56","708","Treated PSA",0.00606435481311665,0.00193915902708129,3.12731175134427
