"","event_psa","Treated PSA","posttreatment_mspe","pretreatment_mspe","Post MSPE / Pre MSPE"
"1","101","Untreated PSA",0.000278295121923563,5.33451451272589e-06,52.1687814813641
"2","102","Untreated PSA",0.00148301119489618,0.000434823630771903,3.41060395513354
"3","103","Untreated PSA",0.0014478210889093,0.000765607251596462,1.89107546446336
"4","104","Untreated PSA",0.00050548768429976,5.46076377442201e-05,9.25672131556841
"5","105","Untreated PSA",0.00604328519013983,0.000439678304324682,13.7447882479031
"6","106","Untreated PSA",0.00223370379713388,0.000288472898876006,7.74320154800396
"7","107","Untreated PSA",0.00033984533984534,0,Inf
"8","108","Untreated PSA",0.0250266146325949,0.000201443148039408,124.236614033151
"9","203","Untreated PSA",0.000290566674815537,3.34174091188711e-05,8.69506890201884
"10","204","Untreated PSA",0.00304466934795954,4.54750019596243e-05,66.9525941013219
"11","205","Untreated PSA",0.000171698123083517,8.83578961085375e-05,1.94321198948202
"12","206","Untreated PSA",6.10500610500611e-05,0,Inf
"13","207","Untreated PSA",0.000410041416088103,3.95409500897661e-05,10.3700446033094
"14","208","Untreated PSA",0.000291643918868618,4.78691651286787e-05,6.0925215237124
"15","301","Untreated PSA",0.000661111724406754,4.93577333592545e-05,13.3942885828001
"16","302","Untreated PSA",0.00114605225434056,0.000210472921782219,5.44512921014326
"17","303","Untreated PSA",0.000528232656752618,0.000506596373804167,1.04270911531794
"18","304","Untreated PSA",0.0010026487350629,0.000945532721241341,1.06040617372456
"19","305","Untreated PSA",0.000232352615810687,5.45915771424917e-05,4.25619899575742
"20","306","Untreated PSA",0.000376859835560214,0.000155168485040719,2.42871376530691
"21","307","Untreated PSA",0.000183150183150183,0,Inf
"22","308","Untreated PSA",0.00158407944389767,0.00042647857788527,3.71432359335013
"23","401","Untreated PSA",0.000615833358951147,3.04185094747432e-05,20.2453496106533
"24","402","Untreated PSA",0.00126090227051692,0.000402532597300701,3.13242276270858
"25","403","Untreated PSA",0.00066587666174908,0.000248258660400275,2.68218905505841
"26","404","Untreated PSA",0.003074423130175,9.7312564453598e-05,31.5932803480992
"27","405","Untreated PSA",0.00188272628069554,0.000200695082347998,9.38102846701026
"28","406","Untreated PSA",0.000235919700182848,4.96418065428903e-05,4.75243986092679
"29","407","Untreated PSA",0.00127268495006961,8.20072301394539e-05,15.5191798077487
"30","408","Untreated PSA",0.00054945054945055,0,Inf
"31","409","Untreated PSA",0.000444531249811,6.27413469499252e-05,7.08514036470697
"32","501","Untreated PSA",0.00205300458107537,0.000319339330220794,6.42891240379287
"33","502","Untreated PSA",0.00140529152349758,0.00018990098444905,7.40012763796184
"34","503","Untreated PSA",0.0032467857156129,0.000514463788862452,6.31100922144973
"35","504","Untreated PSA",0.00178396723528202,0.000584371856465808,3.05279457856028
"36","505","Untreated PSA",0.000171426931851523,3.86812839174421e-05,4.43177977797743
"37","506","Untreated PSA",0.0029570353790994,0.000621223500921676,4.76001853553867
"38","507","Untreated PSA",0.00191957108246553,0.000214098553740816,8.9658292824777
"39","601","Untreated PSA",0.00510196711838627,0.000127554635762165,39.9982884816453
"40","602","Untreated PSA",0.00379614010507103,0.00014931823909229,25.4231507694431
"41","603","Untreated PSA",0.00346616757036131,0.000660196084098626,5.25020922396671
"42","604","Untreated PSA",0.00214193628240727,0.000206237703879589,10.3857647855594
"43","605","Untreated PSA",0.000507453673706061,0.000137054701586177,3.7025630484262
"44","606","Untreated PSA",0.000292334142937845,5.09281217521813e-05,5.74013203079346
"45","607","Untreated PSA",0.0127101389890294,0.000345792221379019,36.7565786712649
"46","608","Untreated PSA",0.00629050216961282,0.000498710704047607,12.6135294842445
"47","701","Treated PSA",0.004075356384318,0.000633651059385301,6.43154670690753
"48","702","Treated PSA",0.0114642570087134,0.00153204179829869,7.48299231877635
"49","703","Treated PSA",0.0112976071073185,0.000932795127851665,12.111563161075
"50","704","Treated PSA",0.00261515453494172,0.000145487718889802,17.9750878967491
"51","705","Treated PSA",0.00203005775594934,0.000681826373036841,2.9773822724215
"52","706","Treated PSA",0.00337531517466098,0.000570965408939686,5.91159310496431
"53","707","Treated PSA",0.00109658555861211,0.000183844678014113,5.96473920516717
"54","708","Treated PSA",0.00253924567434964,0.000110846656921666,22.9077334839614
