"","event_psa","Treated PSA","posttreatment_mspe","pretreatment_mspe","Post MSPE / Pre MSPE"
"1","101","Untreated PSA",0.00115613140926508,0.000663766597768805,1.74177401085158
"2","102","Untreated PSA",0.00129999965812301,0.00063275362262374,2.05451160079101
"3","103","Untreated PSA",0.00635423065557971,0.00530880967010149,1.19692191855472
"4","104","Untreated PSA",0.0359537930341141,0.0159933623736003,2.24804466967257
"5","105","Untreated PSA",0.0644572698915112,0.014917814312921,4.32082532597835
"6","106","Untreated PSA",0.041875079428761,0.0234483101731753,1.78584636246691
"7","107","Untreated PSA",0.0313368690336221,0.0132084223467442,2.3724914460618
"8","108","Untreated PSA",0.101331483824727,0.0277464890814404,3.65204705818105
"9","201","Untreated PSA",0.00183799895445869,0.000738431527255075,2.48905807325287
"10","202","Untreated PSA",0.00191591857504451,0.00228766211388994,0.837500679585362
"11","203","Untreated PSA",0.00222086028443203,0.00109586662849235,2.02657898934965
"12","204","Untreated PSA",0.00836780002531195,0.000953283896290558,8.77786780818699
"13","205","Untreated PSA",0.00124762207265947,0.000428397552994868,2.91229971772135
"14","206","Untreated PSA",0.00299249006625458,0.00245815582911894,1.21737199521934
"15","207","Untreated PSA",0.00270242069838997,0.000963312423252423,2.80534189444563
"16","208","Untreated PSA",0.00118270497694259,0.000623226226358367,1.89771374650481
"17","301","Untreated PSA",0.0949609308054424,0.0263321867047819,3.60626832363291
"18","302","Untreated PSA",0.159149966993951,0.00395843645925968,40.2052599888683
"19","303","Untreated PSA",0.0121463308636933,0.0164357718813017,0.739017975633481
"20","304","Untreated PSA",0.0873885415861259,0.0400184265321568,2.18370758570192
"21","305","Untreated PSA",0.0320063903567137,0.00254623920006844,12.5700642562778
"22","306","Untreated PSA",0.0436059909700313,0.00167812683965543,25.9849195779413
"23","307","Untreated PSA",0.039320250281518,0.00839311720722134,4.68482082529329
"24","308","Untreated PSA",0.095917037995632,0.0352923378514725,2.7177864611661
"25","401","Untreated PSA",0.0218209210033276,0.0119664152418333,1.82351360556534
"26","402","Untreated PSA",0.115863353723235,0.0368668415394395,3.14275237273274
"27","403","Untreated PSA",0.0492623257175817,0.0124306001022594,3.96298853734567
"28","404","Untreated PSA",0.0539645602044539,0.0144851717362702,3.72550365207816
"29","405","Untreated PSA",0.105951859677682,0.0206509631422194,5.13060136459549
"30","406","Untreated PSA",0.0480080114045614,0.014134814759357,3.39643725240763
"31","407","Untreated PSA",0.0695638509476492,0.0220706905497692,3.15186562879777
"32","408","Untreated PSA",0.0160504639654636,0.00123858043952414,12.9587578273319
"33","409","Untreated PSA",0.0384326560738194,0.0445629016231737,0.862436122288625
"34","501","Untreated PSA",0.122024813479592,0.0431593731957469,2.82730735977455
"35","502","Untreated PSA",0.158070353753041,0.0755026448348479,2.0935737297521
"36","503","Untreated PSA",0.350825269353349,0.0357808814784432,9.80482466774079
"37","504","Untreated PSA",0.0631285814454449,0.0241578880296137,2.61316640627108
"38","505","Untreated PSA",0.0447016149190222,0.0200543177468551,2.22902695984421
"39","506","Untreated PSA",0.110358482661316,0.0185442127913682,5.95110096626397
"40","507","Untreated PSA",0.421220017322655,0.0276408721092152,15.239027757819
"41","601","Untreated PSA",0.0217311108134892,0.0208037715903059,1.04457553377559
"42","602","Untreated PSA",0.0340822524760071,0.0216078091481669,1.57731180622254
"43","603","Untreated PSA",0.111221919369383,0.0503424354286171,2.20930748428112
"44","604","Untreated PSA",0.183590336809134,0.0401988498677139,4.56705446581909
"45","605","Untreated PSA",0.0503993858708578,0.00609148132204275,8.27374873308429
"46","606","Untreated PSA",0.0162602056062871,0.00166750130360674,9.75124011664452
"47","607","Untreated PSA",0.0647238307707645,0.0106425606121353,6.08160320900237
"48","608","Untreated PSA",0.0566530128547204,0.00577276829215964,9.81383800414516
"49","701","Treated PSA",0.323943439002364,0.0242914420393644,13.3357022805568
"50","702","Treated PSA",0.0849328030495316,0.0228092550757409,3.72361143612547
"51","703","Treated PSA",0.154890877191593,0.0390192071499838,3.96960595832242
"52","704","Treated PSA",0.100243513380668,0.0159727618078991,6.27590360303841
"53","705","Treated PSA",0.0837626294206118,0.0163991887039342,5.10773007938599
"54","706","Treated PSA",0.220749108943802,0.0267371162515371,8.25627965510719
"55","707","Treated PSA",0.185914955599015,0.0132811305759403,13.9984284120972
"56","708","Treated PSA",0.0881502005769933,0.00794060227477116,11.1011983130125
